Time,Total Pedestrians,Mean Speed,Waiting Pedestrians,Average Route Time,Throughput,Max Pedestrian Density,Max Density Lane,Max Waiting Time,Total Distance Traveled,Average Distance,Deviation from Shortest Route
03:23:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:24:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:25:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:26:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:27:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:28:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:29:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:30:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:31:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:32:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:33:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:34:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:35:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:36:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:37:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:38:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:39:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:40:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:41:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:42:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:43:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:44:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:45:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:46:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:47:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:48:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:49:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:50:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:51:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:52:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:53:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:54:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:55:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:56:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:57:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:58:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
03:59:00,0,0,0,335.0,0,0,,0,7406.567768125673,308.6069903385697,1.0
04:00:00,6,0.0,0,335.0,0,0.05955926146515784,225466096#3_0,0.0,7406.567768125673,308.6069903385697,1.0
04:01:00,6,1.4094797273319166,0,335.0,0,1.075268817204301,-1134398600#2_0,0.0,7406.567768125673,308.6069903385697,1.0
04:02:00,5,1.3219002987487611,0,326.4,1,0.18761726078799248,:10575648965_6_0,0.0,7473.142625712287,298.92570502849145,1.0
04:03:00,3,1.4187313810705027,0,315.55555555555554,2,0.14326647564469913,:2342205194_6_0,0.0,7733.539045707632,286.4273720632456,1.0
04:04:00,3,1.2522777272222596,0,315.55555555555554,0,0.05955926146515784,-225466096#3_0,0.0,7733.539045707632,286.4273720632456,1.0
04:05:00,1,1.024527074568277,0,314.48275862068965,2,0.009473285335354301,565255792#4_0,0.0,8366.036484192082,288.4840166962787,1.0
04:06:00,1,0.9210337098689731,0,314.48275862068965,0,0.017642907551164433,225470252#1_0,0.0,8366.036484192082,288.4840166962787,1.0
04:07:00,1,0.9941945699901682,0,314.48275862068965,0,0.046446818392940084,225466115#3_0,0.0,8366.036484192082,288.4840166962787,1.0
04:08:00,1,0.9072546019481953,0,314.48275862068965,0,0.020202020202020204,-225446896#1_0,0.0,8366.036484192082,288.4840166962787,1.0
04:09:00,1,0.8815617443982409,0,314.48275862068965,0,0.02520161290322581,-225446896#0_0,0.0,8366.036484192082,288.4840166962787,1.0
04:10:00,1,0.9797127722897034,0,314.48275862068965,0,0.10101010101010101,:3428758088_1_0,0.0,8366.036484192082,288.4840166962787,1.0
04:11:00,1,0.942580701251745,0,314.48275862068965,0,0.3424657534246575,:2342378480_2_0,0.0,8366.036484192082,288.4840166962787,1.0
04:12:00,0,0,0,328.0,1,0,,0,8943.681812741843,298.1227270913948,1.0
04:13:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:14:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:15:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:16:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:17:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:18:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:19:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:20:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:21:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:22:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:23:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
04:24:00,0,0,0,328.0,0,0,,0,8943.681812741843,298.1227270913948,1.0
